date,obs,synth,gaps,upper_ci,lower_ci,T0,outcome,treated
2015-01-01,51.5430376344086,46.260162315585745,5.282875318822853,NA,NA,89,DAA,ES
2015-02-01,42.60608630952381,49.626153960134644,-7.020067650610834,NA,NA,89,DAA,ES
2015-03-01,43.08432795698925,45.35193528472447,-2.2676073277352202,NA,NA,89,DAA,ES
2015-04-01,45.38505555555555,43.59351076520857,1.7915447903469826,NA,NA,89,DAA,ES
2015-05-01,45.1483064516129,40.08062387688706,5.067682574725843,NA,NA,89,DAA,ES
2015-06-01,54.74554166666667,41.87666045152058,12.86888121514609,NA,NA,89,DAA,ES
2015-07-01,59.526747311827954,55.651390574389666,3.8753567374382882,NA,NA,89,DAA,ES
2015-08-01,55.60958333333333,46.031616629963885,9.577966703369448,NA,NA,89,DAA,ES
2015-09-01,51.87383333333333,50.496870389294585,1.3769629440387448,NA,NA,89,DAA,ES
2015-10-01,49.88583333333333,48.99344943147373,0.8923839018596027,NA,NA,89,DAA,ES
2015-11-01,51.21619444444445,47.88915165149558,3.327042792948866,NA,NA,89,DAA,ES
2015-12-01,52.586424731182795,45.92359798806136,6.662826743121435,NA,NA,89,DAA,ES
2016-01-01,36.514932795698925,41.552913999493235,-5.03798120379431,NA,NA,89,DAA,ES
2016-02-01,27.47925287356322,31.25416170537369,-3.774908831810471,NA,NA,89,DAA,ES
2016-03-01,27.793239247311828,30.578550603670106,-2.785311356358278,NA,NA,89,DAA,ES
2016-04-01,24.098375,29.411789035893893,-5.313414035893892,NA,NA,89,DAA,ES
2016-05-01,25.812056451612904,33.01020295711321,-7.198146505500304,NA,NA,89,DAA,ES
2016-06-01,38.924347222222224,36.41915023264145,2.5051969895807744,NA,NA,89,DAA,ES
2016-07-01,40.51584677419355,37.77335274251139,2.742494031682156,NA,NA,89,DAA,ES
2016-08-01,41.14416666666666,33.339866092873756,7.804300573792908,NA,NA,89,DAA,ES
2016-09-01,43.60475,38.8587789836632,4.745971016336803,NA,NA,89,DAA,ES
2016-10-01,52.84755376344086,49.953294257507864,2.894259505932993,NA,NA,89,DAA,ES
2016-11-01,56.146375,51.57828027730773,4.568094722692273,NA,NA,89,DAA,ES
2016-12-01,60.48635752688172,52.361344298077995,8.125013228803724,NA,NA,89,DAA,ES
2017-01-01,71.50611559139784,71.26619037320472,0.23992521819312174,NA,NA,89,DAA,ES
2017-02-01,51.703630952380955,52.24573534806363,-0.5421043956826779,NA,NA,89,DAA,ES
2017-03-01,43.16017473118279,39.898139561388064,3.2620351697947285,NA,NA,89,DAA,ES
2017-04-01,43.68673611111111,39.932391678588296,3.7543444325228137,NA,NA,89,DAA,ES
2017-05-01,47.17415322580645,40.36792373663458,6.806229489171869,NA,NA,89,DAA,ES
2017-06-01,50.20333333333333,42.9051399685121,7.2981933648212305,NA,NA,89,DAA,ES
2017-07-01,48.63221774193549,45.72730443103431,2.904913310901179,NA,NA,89,DAA,ES
2017-08-01,47.44994623655914,48.8159159799574,-1.36596974339826,NA,NA,89,DAA,ES
2017-09-01,49.160916666666665,46.907355904991306,2.2535607616753595,NA,NA,89,DAA,ES
2017-10-01,56.784408602150535,53.01206532256026,3.772343279590274,NA,NA,89,DAA,ES
2017-11-01,59.21825,61.92067282111641,-2.7024228211164143,NA,NA,89,DAA,ES
2017-12-01,57.85362903225806,49.80455942322602,8.049069609032045,NA,NA,89,DAA,ES
2018-01-01,50.0509811827957,40.592935807141416,9.458045375654287,NA,NA,89,DAA,ES
2018-02-01,54.86732142857143,46.15979223271061,8.707529195860822,NA,NA,89,DAA,ES
2018-03-01,40.156155913978495,46.491905407929465,-6.335749493950971,NA,NA,89,DAA,ES
2018-04-01,42.685291666666664,37.48363337541714,5.201658291249522,NA,NA,89,DAA,ES
2018-05-01,54.98024193548387,45.443456842769486,9.536785092714382,NA,NA,89,DAA,ES
2018-06-01,58.44956944444444,52.98770746279748,5.461861981646962,NA,NA,89,DAA,ES
2018-07-01,61.87819892473118,54.574671790573916,7.303527134157264,NA,NA,89,DAA,ES
2018-08-01,64.34020161290323,61.83746162914888,2.5027399837543456,NA,NA,89,DAA,ES
2018-09-01,71.25444444444445,67.902317131551,3.352127312893444,NA,NA,89,DAA,ES
2018-10-01,65.10649193548387,67.47159996998121,-2.3651080344973394,NA,NA,89,DAA,ES
2018-11-01,61.96447222222222,66.69847444685942,-4.7340022246372016,NA,NA,89,DAA,ES
2018-12-01,61.80711021505376,63.76852590123375,-1.9614156861799898,NA,NA,89,DAA,ES
2019-01-01,61.959852150537635,67.60919941521644,-5.649347264678802,NA,NA,89,DAA,ES
2019-02-01,54.02049107142857,52.04273099702421,1.9777600744043653,NA,NA,89,DAA,ES
2019-03-01,48.83611559139785,42.75846489522333,6.077650696174523,NA,NA,89,DAA,ES
2019-04-01,50.40361111111111,46.530954836692665,3.8726562744184463,NA,NA,89,DAA,ES
2019-05-01,48.39399193548387,44.33559988748982,4.058392047994047,NA,NA,89,DAA,ES
2019-06-01,47.16123611111111,41.68165687751464,5.479579233596468,NA,NA,89,DAA,ES
2019-07-01,51.464301075268814,49.41135652470031,2.0529445505685047,NA,NA,89,DAA,ES
2019-08-01,44.95181451612903,50.48704038540532,-5.535225869276289,NA,NA,89,DAA,ES
2019-09-01,42.13011111111111,53.7571521264279,-11.627041015316784,NA,NA,89,DAA,ES
2019-10-01,47.1523252688172,51.85249645644052,-4.700171187623319,NA,NA,89,DAA,ES
2019-11-01,42.18718055555556,45.8746479420386,-3.6874673864830427,NA,NA,89,DAA,ES
