p_val,T0,outcome,treated,period
3.999200159968006e-4,89,DAA,ES,07/2022 - 06/2023
0.05838832233553289,108,CP00,ES,07/2022 - 06/2023
0.01339732053589282,108,NRG,ES,07/2022 - 06/2023
0.3929214157168566,108,TOT_X_NRG,ES,07/2022 - 06/2023
1.999600079984003e-4,89,DAA,PT,07/2022 - 06/2023
0.06458708258348331,108,CP00,PT,07/2022 - 06/2023
1.999600079984003e-4,108,NRG,PT,07/2022 - 06/2023
0.46870625874825034,108,TOT_X_NRG,PT,07/2022 - 06/2023
