treated,outcome,AT,BE,CZ,DE,DK,EE,EL,FI,HU,IT,LT,LU,LV,NL,NO,PL,RO,SE,SI,SK,BG,HR,IE
ES,DAP,0,0.17247366162994,0,0,0,0,0.136564545433392,0,0,0.0393184471757211,0,0,0.015689148291464,0.103517518321055,0,0,0,0.00654645237281083,0.525890226725663,0,NA,NA,NA
ES,NRG,0,0,0,0,0.166743737915462,0,0,0,0.0540478058868109,0.105090040971664,0.131557994013085,0.343276979832547,0,0.152252331046452,0.0470311103339818,0,0,0,0,0,0,0,0
ES,xNRG,0,0,0,0,0,0.111502166766265,0,0,0,0.609220690581239,0,0,0.0228314746801004,0,0,0,0.0378452593042143,0,0.218600408668182,0,0,0,0
ES,CP00,0,0,0,0,0,0.00332338029038656,0.0827332288451325,0,0,0.522311389945109,0.16789822151627,0.20873779987329,0,0,0,0,0,0,0.0149959795298117,0,0,0,0
PT,DAP,0,0.183513251821239,0,0,0,0,0.147831566013402,0,0,0.0381687532796555,0,0,0.0126393703274103,0.0944788208115674,0,0,0,0.0071047682517748,0.516263469444703,0,NA,NA,NA
PT,NRG,0,0,0,0,0.129147264558523,0,0,0,0,0,0,0,0.0382460925281278,0,0,0,0,0,0,0.113467038103204,0,0.719139604810146,0
PT,xNRG,0,0,0,0,0.128533728902108,0.186798785498851,0,0,0,0.68466748559904,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,CP00,0,0,0,0,0.393548241572991,0,0,0,0,0.52759325339773,0,0,0,0,0.0788585050292797,0,0,0,0,0,0,0,0
