outcome,from,to,ate_ES,ate_PT
CP00,2022-06-01,2023-06-01,-3.471685618559428,-0.06365922319301595
CP00,2022-07-01,2023-06-01,-3.6676545213124805,-0.11882362271283764
CP00xNRG,2022-06-01,2023-06-01,-1.0768475529079202,0.5610031415746339
CP00xNRG,2022-07-01,2023-06-01,-1.1524843834615384,0.528570710697661
NRG,2022-06-01,2023-06-01,-20.821642802868247,-3.3308910313313724
NRG,2022-07-01,2023-06-01,-21.824808052992235,-4.210436127168359
